#名前,レア度,スロットサイズ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
達芸珠【２】,5,2,,達人芸,1,,,,,,,,,,,
匠珠【３】,5,3,,匠,1,,,,,,,,,,,
運気珠【３】,5,3,,幸運,1,,,,,,,,,,,
鬼火珠【３】,5,3,,鬼火纏,1,,,,,,,,,,,
強跳珠【３】,5,3,,ジャンプ鉄人,1,,,,,,,,,,,
速射珠【３】,5,3,,速射強化,1,,,,,,,,,,,
節弾珠【２】,5,2,,弾丸節約,1,,,,,,,,,,,
斬鉄珠【２】,4,2,,業物,1,,,,,,,,,,,
散弾珠【３】,4,3,,散弾・拡散矢強化,1,,,,,,,,,,,
貫通珠【３】,4,3,,貫通弾・貫通矢強化,1,,,,,,,,,,,
強弾珠【３】,5,3,,通常弾・連射矢強化,1,,,,,,,,,,,
剛刃珠【２】,4,2,,剛刃研磨,1,,,,,,,,,,,
爆破珠【２】,4,2,,爆破属性強化,1,,,,,,,,,,,
睡眠珠【２】,5,2,,睡眠属性強化,1,,,,,,,,,,,
麻痺珠【２】,5,2,,麻痺属性強化,1,,,,,,,,,,,
全開珠【２】,5,2,,力の解放,1,,,,,,,,,,,
窮地珠【２】,5,2,,死中に活,1,,,,,,,,,,,
逆上珠【２】,5,2,,逆恨み,1,,,,,,,,,,,
無傷珠【２】,5,2,,フルチャージ,1,,,,,,,,,,,
挑戦珠【２】,4,2,,挑戦者,1,,,,,,,,,,,
痛撃珠【２】,4,2,,弱点特効,1,,,,,,,,,,,
超心珠【２】,4,2,,超会心,1,,,,,,,,,,,
装填珠【３】,4,3,,装填拡張,1,,,,,,,,,,,
守勢珠【３】,4,3,,攻めの守勢,1,,,,,,,,,,,
茸好珠【３】,4,3,,キノコ大好き,1,,,,,,,,,,,
抜刀珠【３】,4,3,,抜刀術【技】,1,,,,,,,,,,,
射法珠【２】,4,2,,弾導強化,1,,,,,,,,,,,
属会珠【２】,4,2,,会心撃【属性】,1,,,,,,,,,,,
砲術珠【２】,4,2,,砲術,1,,,,,,,,,,,
強走珠【２】,4,2,,ランナー,1,,,,,,,,,,,
短縮珠【２】,4,2,,集中,1,,,,,,,,,,,
心眼珠【２】,4,2,,心眼,1,,,,,,,,,,,
底力珠【２】,4,2,,火事場力,1,,,,,,,,,,,
特射珠【２】,4,2,,特殊射撃強化,1,,,,,,,,,,,
増弾珠【２】,4,2,,砲弾装填,1,,,,,,,,,,,
強壁珠【２】,4,2,,ガード強化,1,,,,,,,,,,,
