#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
カムラノ装【手甲】覇,0,4,2,0,0,,30,88,2,0,0,0,0,見切り,2,火事場力,1,,,,,,,カブレライト鉱石,2,鉄鉱石,3,,,,,,,,,,,10,
レザーＳグラブ,0,4,1,1,0,,30,88,0,0,0,0,0,地質学,1,特殊射撃強化,1,,,,,,,肉厚な上皮,2,鉄鉱石,3,,,,,,,,,,,20,
チェーンＳグラブ,0,4,1,1,0,,32,90,0,0,1,0,0,植生学,1,防御,2,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,1,,,,,,,,,,,30,
ハンターＳアーム,0,4,2,0,0,,32,90,0,0,0,0,0,納刀術,1,,,,,,,,,ジャグラスの上鱗,2,カブレライト鉱石,1,,,,,,,,,,,40,
アロイＳアーム,0,4,1,0,0,,32,90,-1,0,-1,-1,0,水属性攻撃強化,1,見切り,2,,,,,,,グラシスメタル,2,ドラグライト鉱石,3,マカライト鉱石,2,,,,,,,,,50,
ボーンＳアーム,0,4,1,1,0,,32,90,0,0,0,-1,0,泥雪耐性,1,スタミナ奪取,1,,,,,,,上質な堅骨,1,上質な毛皮,2,鋭利な爪,1,,,,,,,,,60,
スカルダＳマーノ,1,4,1,1,0,,32,90,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,毒クモリ,2,上質な腹袋,1,鋭利な牙,2,,,,,,,,,70,
スパイオＳマーノ,2,4,1,1,0,,32,90,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,毒クモリ,2,上質な腹袋,1,鋭利な牙,2,,,,,,,,,80,
ブナハＳグローブ,0,4,1,0,0,,34,92,-2,0,0,0,2,毒属性強化,2,回避性能,1,,,,,,,飛甲虫の堅殻,2,上質な腹袋,1,飛甲虫の羽,2,大地の結晶,3,,,,,,,90,
イズチＳアーム,0,4,1,1,0,,36,94,2,-1,-2,0,0,体術,2,,,,,,,,,鎌鼬竜の上皮,3,鎌鼬竜の上刃尾,2,鋭利な爪,1,イズチの刃尾,1,,,,,,,100,
バギィＳアーム,0,4,1,1,0,,36,94,-4,-1,-1,2,1,睡眠耐性,2,氷属性攻撃強化,1,,,,,,,眠狗竜の尖爪,3,昏睡袋,2,バギィの上鱗,2,,,,,,,,,110,
クルルＳアーム,0,4,2,0,0,,38,96,0,-3,0,1,0,ＫＯ術,1,スタミナ奪取,2,,,,,,,掻鳥の上皮,3,掻鳥の大クチバシ,2,上竜骨,2,鳥竜玉,1,,,,,,,120,
フロギィＳアーム,0,4,3,0,0,,38,96,2,-2,1,-4,0,装填拡張,1,,,,,,,,,毒狗竜の堅腕甲,4,猛毒袋,2,上竜骨,2,カブレライト鉱石,1,,,,,,,130,
アシラＳアーム,0,4,1,0,0,,36,94,-2,0,-2,0,0,逆襲,1,防御,2,,,,,,,青熊獣の堅腕甲,1,青熊獣の堅殻,4,上質な堅骨,1,獣玉,1,,,,,,,140,
ウルクＳアーム,0,4,2,1,0,,36,94,-3,1,0,3,0,見切り,2,氷属性攻撃強化,1,,,,,,,白兎獣の堅腹甲,3,白兎獣の凍爪,2,グラシスメタル,3,獣玉,1,,,,,,,150,
アケノＳアーム,0,4,1,1,0,,38,96,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,1,,,,,,,傘鳥の上鱗,4,爆炎袋,2,尖竜骨,1,,,,,,,,,160,
フルフルＳアーム,0,4,1,1,0,,38,96,-4,1,4,2,1,壁面移動,1,回復速度,1,雷属性攻撃強化,2,,,,,怪しげな鋭牙,4,電撃袋,2,尖竜骨,2,カブレライト鉱石,1,,,,,,,170,
ヨツミＳアーム,0,4,1,1,0,,40,98,-1,4,-2,1,0,火事場力,1,特殊射撃強化,1,,,,,,,河童蛙の上皮,3,大水袋,2,堅牢な骨,2,カブレライト鉱石,1,,,,,,,180,
インゴットＳアーム,0,4,1,0,0,,40,96,-1,-1,1,0,0,雷属性攻撃強化,3,,,,,,,,,ユニオン鉱石,2,ドラグライト鉱石,3,グラシスメタル,2,フロギィの上鱗,2,,,,,,,190,
エーデルＳラーマ,0,4,0,0,0,,40,96,-1,3,-1,0,0,捕獲名人,1,,,,,,,,,星見の麗花,2,大水袋,2,流水草,3,肉厚な上皮,1,,,,,,,210,
リノプロＳアーム,0,4,2,1,0,,42,98,2,0,0,-2,0,砲術,2,,,,,,,,,草食竜の堅殻,3,草食竜の頭殻,1,鋭利な牙,2,尖竜骨,1,,,,,,,220,
狗竜の革篭手Ｓ,0,4,1,1,0,,42,98,0,0,0,1,0,攻撃,2,,,,,,,,,ジャギィの上鱗,3,ジャギィの上皮,2,鋭利な牙,2,埋もれた竜骨骸,2,,,,,,,250,
ラングロＳアーム,0,4,1,1,1,,50,106,2,-3,0,-1,1,回避距離ＵＰ,1,麻痺属性強化,1,,,,,,,赤甲獣の蛇腹甲,2,赤甲獣の堅殻,2,モンスターの濃汁,2,埋もれた竜骨骸,2,,,,,,,280,
ルドロスＳアーム,0,4,2,1,1,,48,104,-3,4,-1,0,0,ランナー,1,,,,,,,,,水獣の上鱗,3,大水袋,2,水生獣の上皮,2,未熟な海綿質,2,,,,,,,290,
ボロスＳアーム,0,4,1,1,0,,50,106,-3,-1,3,-1,0,攻撃,2,滑走強化,1,,,,,,,土砂竜の堅甲,4,土砂竜の鋭爪,1,尖竜骨,1,ユニオン鉱石,3,,,,,,,300,
テンゴＳアーム,0,5,3,0,0,,52,108,-2,2,2,-4,2,アイテム使用強化,1,気絶耐性,1,,,,,,,天狗獣の上腕羽,3,天狗獣の尖爪,2,天狗獣の剛毛,1,いにしえの龍骨,1,,,,,,,310,
プケプケＳアーム,0,5,2,0,0,,50,106,0,3,-3,0,1,弾丸節約,1,弾導強化,1,,,,,,,毒妖鳥の翼,1,毒妖鳥の上鱗,3,猛毒袋,2,フロギィの上鱗,2,,,,,,,320,
ジュラアーム,0,5,3,2,1,,48,104,-1,2,-3,0,0,,,,,,,,,,,泥魚竜の上鱗,4,泥魚竜の堅殻,1,泥魚竜の鋭牙,2,竜玉,1,,,,,,,330,
バサルＳアーム,0,5,1,1,0,,52,108,0,-2,1,1,-3,ガード性能,2,砥石使用高速化,1,,,,,,,岩竜の堅胸殻,4,岩竜の翼,2,ノヴァクリスタル,1,マカライト鉱石,3,,,,,,,340,
レイアＳアーム,0,5,1,1,0,,52,108,3,0,-2,0,-3,属性やられ耐性,1,広域化,1,,,,,,,雌火竜の堅殻,4,爆炎袋,2,火竜の延髄,1,尖竜骨,2,,,,,,,350,
ドーベルアーム,0,5,2,1,1,,52,98,-2,0,0,0,4,龍属性攻撃強化,1,強化持続,1,,,,,,,堅牢な骨,3,いにしえの龍骨,1,鎌鼬竜の上皮,2,ジャグラスの上鱗,2,,,,,,,380,
アルブーロＳグローブ,0,5,1,1,0,,52,98,0,-2,1,-1,0,散弾・拡散矢強化,1,通常弾・連射矢強化,1,,,,,,,マクラサカガイ,1,河童蛙の上皮,3,咬魚の上ヒゲ,2,堅竜骨,2,,,,,,,390,
メルホアＳラーマ,0,5,1,1,0,,52,98,0,1,3,0,0,麻痺耐性,1,植生学,1,体力回復量ＵＰ,1,,,,,ドスビスカス,1,雷光虫,2,飛甲虫の堅殻,2,ねじれた堅怪骨,2,,,,,,,400,
デスギアＳファオスト,0,5,1,0,0,,52,98,3,1,1,-1,0,渾身,2,,,,,,,,,禍々しい闇布,1,翼蛇竜の頭,1,上質な堅骨,2,鋭利な爪,2,,,,,,,410,
マギュルＳラーマ,0,5,2,1,1,,52,98,-3,1,0,3,0,爆破やられ耐性,1,ひるみ軽減,1,,,,,,,ワヲンパンプキン,1,忍耐の種,2,モンスターの濃汁,2,臣蜘蛛の絹糸,2,,,,,,,420,
ヴァイクＳアーム,0,5,1,1,0,,52,98,0,3,-2,-1,0,通常弾・連射矢強化,2,,,,,,,,,ヨロイシダイ,1,カジキマグロ,1,未熟な海綿質,2,カブレライト鉱石,3,,,,,,,430,
マカルパＳスリーブ,0,5,2,0,0,,52,98,1,2,-2,0,0,泡沫の舞,1,飛び込み,1,,,,,,,春夜鯉,1,カジキマグロ,1,鮫肌の鱗,2,カブレライト鉱石,3,,,,,,,440,
ウツシ表【手甲】覇,1,5,3,0,0,,52,98,3,0,0,0,0,広域化,1,,,,,,,,,カムラチケット,2,迅竜の上黒毛,3,堅竜骨,1,ノヴァクリスタル,1,,,,,,,450,
ウツシ裏【手甲】覇,1,5,2,0,0,,52,98,3,0,0,0,0,回避性能,1,翔蟲使い,1,,,,,,,カムラチケット,2,迅竜の鋭刃翼,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,460,
依巫・祈【花袖】,2,5,3,0,0,,52,98,3,0,0,0,0,広域化,1,,,,,,,,,カムラチケット,2,迅竜の上黒毛,3,堅竜骨,1,ノヴァクリスタル,1,,,,,,,470,
神凪・願【花袖】,2,5,2,0,0,,52,98,3,0,0,0,0,回避性能,1,翔蟲使い,1,,,,,,,カムラチケット,2,迅竜の鋭刃翼,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,480,
ガブラスーツＳグラブ,0,5,2,0,0,,52,98,1,1,1,1,3,会心撃【属性】,1,風圧耐性,1,,,,,,,縞模様の皮,2,迅竜の上鱗,2,獄炎石,1,尖竜骨,2,,,,,,,500,
イソネＳアーム,0,5,2,0,0,,58,104,-1,2,-3,0,1,ボマー,2,精霊の加護,1,,,,,,,人魚竜の上鱗,4,人魚竜の尖鉤爪,2,人魚竜の堅殻,1,眠狗竜の尖爪,2,,,,,,,510,
ベリオＳアーム,0,5,2,0,0,,58,104,-3,0,-1,3,0,納刀術,1,渾身,1,見切り,1,,,,,氷牙竜の堅殻,4,氷牙竜の上毛皮,1,凍結袋,2,肉厚な上皮,3,,,,,,,520,
カガチＳアーム,0,5,2,0,0,,58,104,0,-3,3,0,0,体術,3,,,,,,,,,飛雷竜の上鱗,4,飛雷竜の雷極針,2,電撃袋,1,堅竜骨,2,,,,,,,530,
ジャナフＳアーム,0,6,1,0,0,,60,118,3,-3,-1,-1,0,ＫＯ術,2,攻撃,2,,,,,,,蛮顎竜の上鱗,3,蛮顎竜の鋭牙,2,爆炎袋,2,獄炎石,1,,,,,,,540,
ナルガＳアーム,0,6,1,1,0,,60,118,-2,1,-3,1,1,回避性能,1,回避距離ＵＰ,1,,,,,,,迅竜の鋭牙,3,迅竜の上鱗,4,迅竜の鋭刃翼,1,鎌鼬竜の上刃尾,1,,,,,,,550,
ミツネＳアーム,0,6,2,0,0,,60,118,0,2,-3,1,-1,死中に活,1,満足感,1,,,,,,,泡狐竜の上鱗,4,泡立つ上滑液,2,泡狐竜の尖爪,2,上質なヒレ,2,,,,,,,560,
レウスＳアーム,0,6,2,0,0,,62,120,3,1,-2,1,-3,攻撃,2,,,,,,,,,火竜の上鱗,4,火竜の鋭翼爪,1,爆炎袋,3,溶岩獣の上鱗,2,,,,,,,570,
ジンオウＳアーム,0,6,2,0,0,,62,120,0,-1,4,-4,1,力の解放,1,体術,1,,,,,,,雷狼竜の高電殻,3,雷狼竜の堅殻,2,雷狼竜の尖爪,2,雷光虫,3,,,,,,,580,
ロワーガＳマーノ,1,6,3,0,0,,62,106,-2,0,3,-2,2,回避性能,1,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,3,雌火竜の上棘,1,妃蜘蛛の堅殻,1,,,,,,,590,
ファルメルＳマーノ,2,6,3,0,0,,62,106,-2,0,3,-2,2,回避性能,1,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,3,雌火竜の上棘,1,妃蜘蛛の堅殻,1,,,,,,,600,
メデュレトＳグラブ,0,6,1,1,0,,62,106,1,3,0,2,0,精霊の加護,2,,,,,,,,,ゴスゴシックラゲ,1,海綿質の上皮,2,堅竜骨,1,カブレライト鉱石,4,,,,,,,610,
禍鎧・覇【篭手】,0,6,2,0,0,,64,122,3,-3,-2,1,1,鬼火纏,1,匠,2,,,,,,,怨虎竜の妖腕刃,3,怨虎竜の上鱗,4,怨虎竜の妖刀殻,1,怨虎竜の紫玉,1,,,,,,,650,
ゴシャＳアーム,0,6,2,0,0,,64,122,-4,1,-1,4,0,抜刀術【技】,1,抜刀術【力】,1,,,,,,,雪鬼獣の上皮,4,雪鬼獣の堅腕甲,2,堅牢な巨骨,2,白兎獣の堅腹甲,1,,,,,,,660,
オロミドＳアーム,0,6,1,1,0,,64,122,-4,3,3,-2,-2,高速変形,1,回避性能,2,,,,,,,泥翁竜の尖爪,2,泥翁竜の堅殻,3,黄金色の粘泥土,3,ノヴァクリスタル,1,,,,,,,670,
レックスＳアーム,0,6,3,0,0,,64,122,2,0,-3,0,-2,鈍器使い,2,心眼,1,,,,,,,轟竜の堅殻,3,轟竜の尖爪,3,轟竜の上鱗,1,ユニオン鉱石,4,,,,,,,680,
ディアブロＳアーム,0,6,2,1,0,,64,122,3,-1,-1,-3,-1,攻めの守勢,1,,,,,,,,,角竜の堅甲,4,角竜の堅殻,1,角竜の牙,2,堅竜骨,2,,,,,,,690,
ヤツカダアーム,0,6,2,0,0,,66,124,4,-2,-1,-3,1,体術,2,スタミナ急速回復,1,,,,,,,妃蜘蛛の鋭爪,4,妃蜘蛛の堅殻,1,妃蜘蛛の絹糸,3,モンスターの濃汁,2,,,,,,,700,
金色ノ篭手,0,7,3,1,0,,70,128,2,1,3,-5,2,火事場力,1,力の解放,1,,,,,,,金獅子の黒毛,2,金獅子の尖爪,2,堅牢な巨骨,3,竜玉,1,,,,,,,710,
ダマスクアーム,0,7,2,1,0,,68,126,-1,2,-3,1,-1,耳栓,1,,,,,,,,,古龍の血,2,雪鬼獣の堅腕甲,2,怨虎竜の魂結晶,1,ユニオン鉱石,3,,,,,,,720,
クシャナハトゥー,0,7,1,0,0,,74,132,-1,2,-2,3,-3,鋼殻の恩恵,1,回復速度,1,挑戦者,2,,,,,鋼の上龍鱗,5,鋼龍の尖爪,3,古龍骨,3,ノヴァクリスタル,1,,,,,,,750,
ミヅハ【大袖】,0,7,1,0,0,,74,132,-5,1,0,3,-3,霞皮の恩恵,1,毒属性強化,1,回避性能,1,,,,,霞龍の上皮,5,霞龍の尻尾,2,古龍骨,3,毒妖鳥の大喉袋,2,,,,,,,760,
カイザーアーム,0,7,2,0,0,,74,132,4,-4,1,-1,-3,炎鱗の恩恵,1,見切り,1,超会心,1,,,,,獄炎の龍鱗,5,炎龍の塵粉,2,炎王龍の尻尾,1,炎龍の宝玉,1,,,,,,,770,
バゼルアーム,0,7,2,2,0,,72,130,3,1,-4,-2,-2,砲弾装填,1,ガード強化,1,,,,,,,爆鱗竜の堅殻,5,爆鱗竜の爆腺,2,爆鱗竜の翼,1,爆炎袋,2,,,,,,,780,
しまきのかいな,0,7,0,0,0,,66,124,-1,0,0,0,-2,風紋の一致,1,体術,1,スタミナ急速回復,1,風雷合一,1,,,風神龍の上皮,4,風神龍の堅殻,1,風神龍の尖爪,2,火竜の翼膜,1,,,,,,,790,
なるかみのかいな,0,7,0,0,0,,76,134,2,1,4,-3,-4,雷紋の一致,1,ガード性能,1,破壊王,1,風雷合一,1,,,雷神龍の堅殻,4,雷神龍の触手,3,雷神龍の尖爪,1,電撃袋,3,,,,,,,800,
赫耀ノアーム,0,7,2,0,0,,80,138,-2,-2,-2,-2,3,龍気活性,1,弱点特効,2,,,,,,,赫揺れる龍鱗,6,天彗龍の尖爪,2,天彗龍の背尖甲,2,炎龍の塵粉,2,,,,,,,820,
蒼世ノ侍【袖】,0,7,1,0,0,,72,130,2,2,0,0,2,体術,1,弱点特効,1,会心撃【属性】,2,,,,,,,,,,,,,,,,,,,840,
カムラノ装【手甲】継,0,8,1,0,0,,80,152,2,0,0,0,0,見切り,2,火事場力,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,5000,1
レザーＸグラブ,0,8,4,1,0,,80,152,0,0,0,0,0,地質学,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,,,5010,1
チェーンＸグラブ,0,8,4,1,0,,82,154,0,0,1,0,0,スタミナ急速回復,1,防御,2,,,,,,,,,,,,,,,,,,,,,5020,1
ハンターＸアーム,0,8,2,0,0,,82,154,0,0,0,0,0,納刀術,1,匠,1,装填拡張,1,,,,,,,,,,,,,,,,,,,5030,1
アロイＸアーム,0,8,2,1,0,,82,154,-1,0,-1,-1,0,水属性攻撃強化,1,見切り,2,,,,,,,,,,,,,,,,,,,,,5040,1
ボーンＸアーム,0,8,1,1,0,,82,154,0,0,0,-1,0,抜刀術【力】,2,スタミナ奪取,1,ランナー,1,,,,,,,,,,,,,,,,,,,5050,1
リノプロＸアーム,0,8,2,2,0,,90,162,2,0,0,-2,0,砲術,2,砲弾装填,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,5060,1
ブナハＸグローブ,0,8,4,0,0,,84,156,-2,0,0,0,2,毒属性強化,2,回避性能,2,,,,,,,,,,,,,,,,,,,,,5080,1
タロスアーム,0,8,4,2,0,,86,158,-1,-1,-1,-1,4,龍属性攻撃強化,1,ブレ抑制,2,,,,,,,,,,,,,,,,,,,,,5090,1
ランゴアーム,0,8,3,0,0,,84,156,-2,1,1,1,2,麻痺属性強化,2,乗り名人,1,,,,,,,,,,,,,,,,,,,,,5100,1
狗竜の革篭手Ｘ,0,8,1,1,0,,90,162,0,0,0,1,0,攻撃,3,,,,,,,,,,,,,,,,,,,,,,,5110,1
ランポスアーム,0,8,3,1,0,,86,158,0,0,0,-2,0,攻撃,2,,,,,,,,,,,,,,,,,,,,,,,5130,1
イズチＸアーム,0,8,1,1,0,,86,158,2,-1,-2,0,0,体術,2,回避性能,1,,,,,,,,,,,,,,,,,,,,,5140,1
バギィＸアーム,0,8,4,1,0,,86,158,-4,-1,-1,2,1,睡眠耐性,2,睡眠属性強化,1,,,,,,,,,,,,,,,,,,,,,5150,1
クルルＸアーム,0,8,2,1,0,,86,158,0,-3,0,1,0,ＫＯ術,1,スタミナ奪取,2,納刀術,1,,,,,,,,,,,,,,,,,,,5160,1
フロギィＸアーム,0,8,4,0,0,,88,160,2,-2,1,-4,0,装填拡張,1,毒耐性,2,心眼,2,,,,,,,,,,,,,,,,,,,5170,1
アシラＸアーム,0,8,1,1,0,,86,158,-2,0,-2,0,0,逆襲,1,防御,1,逆恨み,2,,,,,,,,,,,,,,,,,,,5180,1
ウルクＸアーム,0,8,2,1,0,,86,158,-3,1,0,3,0,見切り,2,氷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,5190,1
ラングロＸアーム,0,8,1,1,1,,94,166,2,-3,0,-1,1,回避距離ＵＰ,1,麻痺属性強化,1,耳栓,1,,,,,,,,,,,,,,,,,,,5200,1
アケノＸアーム,0,8,2,1,1,,88,160,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5210,1
ルドロスＸアーム,0,8,2,2,1,,92,164,-3,4,-1,0,0,ランナー,1,強化持続,1,弾丸節約,1,,,,,,,,,,,,,,,,,,,5220,1
ボロスＸアーム,0,8,2,1,0,,94,166,-3,-1,3,-1,0,攻撃,2,滑走強化,1,攻めの守勢,1,散弾・拡散矢強化,1,,,,,,,,,,,,,,,,,5230,1
ザザミアーム,0,8,2,0,0,,94,166,-5,1,-3,-1,2,ガード性能,2,ガード強化,1,通常弾・連射矢強化,2,,,,,,,,,,,,,,,,,,,5240,1
ヨツミＸアーム,0,8,1,1,0,,90,162,-1,4,-2,1,0,火事場力,2,特殊射撃強化,2,腹減り耐性,1,,,,,,,,,,,,,,,,,,,5250,1
インゴットＸアーム,0,8,4,2,0,,94,158,-1,-1,1,0,0,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,,,5260,2
スカルダＸマーノ,1,8,4,1,1,,98,162,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5270,2
スパイオＸマーノ,2,8,4,1,1,,98,162,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5280,2
エーデルＸラーマ,0,8,2,1,0,,96,160,-1,3,-1,0,0,捕獲名人,1,広域化,3,,,,,,,,,,,,,,,,,,,,,5300,2
アルブーロＸグローブ,0,8,1,1,0,,96,160,0,2,1,-1,0,散弾・拡散矢強化,2,通常弾・連射矢強化,1,,,,,,,,,,,,,,,,,,,,,5310,2
メルホアＸラーマ,0,8,4,2,0,,92,162,0,1,3,0,0,麻痺耐性,1,植生学,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5320,2
