#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
カムラノ装【上衣】覇,0,4,1,0,0,,30,88,2,0,0,0,0,翔蟲使い,2,壁面移動,1,見切り,1,,,,,カブレライト鉱石,1,イズチの剛毛,1,,,,,,,,,,,10,
レザーＳベスト,0,4,2,0,0,,30,88,0,0,0,0,0,植生学,1,,,,,,,,,ファンゴの上毛皮,2,大地の結晶,2,,,,,,,,,,,20,
チェーンＳベスト,0,4,1,0,0,,32,90,0,0,1,0,0,防御,1,ひるみ軽減,2,,,,,,,カブレライト鉱石,2,大地の結晶,2,,,,,,,,,,,30,
ハンターＳメイル,0,4,1,0,0,,32,90,0,0,0,0,0,攻撃,1,匠,1,,,,,,,翼蛇竜の上皮,2,ドラグライト鉱石,2,,,,,,,,,,,40,
アロイＳメイル,0,4,2,0,0,,32,90,-1,0,-1,-1,0,砥石使用高速化,1,,,,,,,,,グラシスメタル,2,カブレライト鉱石,1,マカライト鉱石,2,,,,,,,,,50,
ボーンＳメイル,0,4,1,0,0,,32,90,0,0,0,-1,0,スタミナ奪取,1,ランナー,1,,,,,,,ねじれた堅怪骨,2,ファンゴの上毛皮,2,鋭利な牙,1,,,,,,,,,60,
スカルダＳペット,1,4,2,0,0,,32,90,3,-1,-1,-1,3,力の解放,1,,,,,,,,,毒クモリ,1,飛甲虫の堅殻,2,カブレライト鉱石,2,,,,,,,,,70,
スパイオＳペット,2,4,2,0,0,,32,90,3,-1,-1,-1,3,力の解放,1,,,,,,,,,毒クモリ,1,飛甲虫の堅殻,2,カブレライト鉱石,2,,,,,,,,,80,
ブナハＳスーツ,0,4,1,1,0,,34,92,-2,0,0,0,2,麻痺属性強化,1,回避性能,1,,,,,,,飛甲虫の堅殻,2,モンスターの濃汁,2,甲虫の大顎,1,ねじれた堅怪骨,1,,,,,,,90,
イズチＳメイル,0,4,1,0,0,,36,94,2,-1,-2,0,0,見切り,2,回復速度,1,,,,,,,鎌鼬竜の上皮,3,鎌鼬竜の上毛,2,上竜骨,1,イズチの刃尾,1,,,,,,,100,
バギィＳメイル,0,4,1,0,0,,36,94,-4,-1,-1,2,1,攻撃,1,氷属性攻撃強化,1,,,,,,,眠狗竜の上皮,4,王者のトサカ,1,バギィの上鱗,1,グラシスメタル,1,,,,,,,110,
クルルＳメイル,0,4,2,0,0,,38,96,0,-3,0,1,0,ＫＯ術,2,笛吹き名人,1,,,,,,,掻鳥の上鱗,4,掻鳥の大クチバシ,1,掻鳥の大飾り羽,1,ドラグライト鉱石,2,,,,,,,120,
