#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
カムラノ装【脚絆】覇,0,4,1,0,0,,30,88,2,0,0,0,0,壁面移動,2,死中に活,1,,,,,,,カブレライト鉱石,2,大地の結晶,2,,,,,,,,,,,10,
レザーＳパンツ,0,4,2,0,0,,30,88,0,0,0,0,0,地質学,1,,,,,,,,,翼蛇竜の上皮,2,鉄鉱石,3,,,,,,,,,,,20,
チェーンＳパンツ,0,4,1,1,0,,32,90,0,0,1,0,0,植生学,1,スタミナ急速回復,1,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,1,,,,,,,,,,,30,
ハンターＳグリーヴ,0,4,2,0,0,,32,90,0,0,0,0,0,気絶耐性,1,攻撃,2,,,,,,,上質な毛皮,2,ねじれた堅怪骨,2,,,,,,,,,,,40,
アロイＳグリーヴ,0,4,2,0,0,,32,90,-1,0,-1,-1,0,砥石使用高速化,1,見切り,1,,,,,,,グラシスメタル,2,カブレライト鉱石,1,マカライト鉱石,2,,,,,,,,,50,
ボーンＳグリーヴ,0,4,2,0,0,,32,90,0,0,0,-1,0,泥雪耐性,2,集中,1,,,,,,,ねじれた堅怪骨,2,イズチの剛毛,2,鋭利な牙,1,,,,,,,,,60,
スカルダＳガンバ,1,4,1,0,0,,32,90,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,1,,,,,毒クモリ,1,モンスターの濃汁,2,カブレライト鉱石,2,,,,,,,,,70,
スパイオＳガンバ,2,4,1,0,0,,32,90,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,1,,,,,毒クモリ,1,モンスターの濃汁,2,カブレライト鉱石,2,,,,,,,,,80,
ブナハＳブーツ,0,4,2,1,0,,34,92,-2,0,0,0,2,麻痺属性強化,1,反動軽減,1,,,,,,,飛甲虫の堅殻,2,上質な腹袋,2,飛甲虫の麻痺針,1,ねじれた堅怪骨,1,,,,,,,90,
イズチＳグリーヴ,0,4,1,1,0,,36,94,2,-1,-2,0,0,回復速度,1,体術,1,,,,,,,鎌鼬竜の上皮,3,鎌鼬竜の上刃尾,1,上竜骨,1,大地の結晶,3,,,,,,,100,
バギィＳグリーヴ,0,4,2,1,0,,36,94,-4,-1,-1,2,1,攻撃,1,,,,,,,,,眠狗竜の尖爪,3,昏睡袋,2,翼蛇竜の上皮,2,グラシスメタル,1,,,,,,,110,
クルルＳグリーヴ,0,4,1,0,0,,38,96,0,-3,0,1,0,気絶耐性,1,見切り,2,,,,,,,掻鳥の上皮,4,掻鳥の大クチバシ,1,鋭利な牙,3,,,,,,,,,120,
フロギィＳグリーヴ,0,4,1,1,0,,38,96,2,-2,1,-4,0,装填拡張,1,回避距離ＵＰ,1,,,,,,,毒狗竜の堅腕甲,4,王者のクチバシ,1,猛毒袋,1,ドラグライト鉱石,2,,,,,,,130,
アシラＳグリーヴ,0,4,3,2,1,,36,94,-2,0,-2,0,0,,,,,,,,,,,青熊獣の堅殻,3,青熊獣の堅腕甲,2,ねじれた堅怪骨,1,鋭利な牙,1,,,,,,,140,
ウルクＳグリーヴ,0,4,1,1,0,,36,94,-3,1,0,3,0,ジャンプ鉄人,1,見切り,1,,,,,,,白兎獣の剛毛,4,白兎獣の堅腹甲,1,堅牢な骨,2,,,,,,,,,150,
アケノＳグリーヴ,0,4,1,0,0,,38,96,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,2,,,,,,,傘鳥の上鱗,2,傘鳥の上羽鱗,2,爆炎袋,2,紅蓮石,1,,,,,,,160,
フルフルＳグリーヴ,0,4,1,1,0,,38,96,-4,1,4,2,1,集中,1,ＫＯ術,1,回復速度,1,,,,,怪しげな鋭牙,4,真珠色の柔皮,1,電撃袋,2,アルビノの霜降り,1,,,,,,,170,
ヨツミＳグリーヴ,0,4,1,0,0,,40,98,-1,4,-2,1,0,通常弾・連射矢強化,1,腹減り耐性,1,,,,,,,河童蛙の苔堅甲,4,河童蛙の大嘴,2,大水袋,2,,,,,,,,,180,
インゴットＳグリーヴ,0,4,1,0,0,,40,96,-1,-1,1,0,0,攻撃,2,見切り,2,,,,,,,ユニオン鉱石,2,ドラグライト鉱石,3,グラシスメタル,2,尖竜骨,2,,,,,,,190,
エーデルＳライース,0,4,3,1,0,,40,96,-1,3,-1,0,0,毒耐性,1,,,,,,,,,星見の麗花,1,大水袋,2,流水草,3,肉厚な上皮,2,,,,,,,210,
リノプロＳグリーヴ,0,4,1,1,0,,42,98,2,0,0,-2,0,貫通弾・貫通矢強化,1,耐震,1,,,,,,,草食竜の堅殻,2,竜骨【中】,2,カブレライト鉱石,2,,,,,,,,,220,
ドロスＳグリーヴ,0,4,2,0,0,,42,98,-2,4,-1,0,0,水属性攻撃強化,3,,,,,,,,,水生獣の上皮,2,未熟な海綿質,2,水生獣の皮,1,咬魚の上ヒゲ,2,,,,,,,240,
